gene	start	end	l
CaalfMp08.1	1	1494	1494
orf19.6699	100	1058	1326
orf19.5077	47	549	750
orf19.596.1	30	211	401
orf19.5161	48	532	583
orf19.137	90	1333	1386
orf19.900	134	2292	2394
orf19.4605	55	1376	1503
orf19.3130	276	1099	1169
orf19.3997	287	1338	1396
orf19.1953	142	1256	1349
orf19.2774	43	1205	1264
orf19.5609	60	1147	1441
orf19.4951	440	1710	1865
orf19.529.1	53	279	422
orf19.693	1	699	699
orf19.1721	150	997	1075
orf19.6151	54	532	689
orf19.107	41	2538	2593
orf19.1618	168	2311	2399
orf19.542	82	1538	1656
orf19.4914	67	422	747
orf19.6220.3	29	501	561
orf19.191	200	2877	2951
orf19.6760	155	4308	4410
orf19.3296	51	1558	1619
orf19.3672	57	2086	2137
orf19.7614	1	1027	1145
orf19.1896	69	2017	2115
orf19.2929	51	5746	5995
orf19.2967	55	1109	1231
orf19.4016	55	1376	1425
orf19.3651	49	1304	1380
orf19.7308	47	1395	1670
orf19.3014	98	894	1250
orf19.979	110	6225	6268
orf19.1891	51	1312	1492
orf19.3527	284	1152	1255
orf19.385	73	3074	3187
orf19.804.1	38	270	395
orf19.3015	42	1738	1895
orf19.6449	61	1922	2047
orf19.4602	37	1037	1102
orf19.3087	1	583	649
orf19.407	36	2236	2287
orf19.717	47	1749	1951
